country_code,2017,2018
ABW,,2.0
AFG,,11.0
AGO,,18.0
ALB,,3.0
AND,,2.0
ARE,,8.0
ARG,,38.0
ARM,,9.0
ASM,,1.0
ATG,,2.0
AUS,,63.0
AUT,,3.0
AZE,,8.0
BDI,,14.0
BEL,,2.0
BEN,,13.0
BFA,,9.0
BGD,,37.0
BGR,,8.0
BHR,,3.0
BHS,,5.0
BIH,,4.0
BLR,,4.0
BLZ,,10.0
BMU,,4.0
BOL,,21.0
BRA,,80.0
BRB,,3.0
BRN,,33.0
BTN,,25.0
BWA,,11.0
CAF,,16.0
CAN,,18.0
CHE,,3.0
CHL,,19.0
CHN,,73.0
CIV,,31.0
CMR,,46.0
COD,,32.0
COG,,15.0
COL,,58.0
COM,,5.0
CPV,,4.0
CRI,,11.0
CUB,,10.0
CUW,,3.0
CYM,,1.0
CYP,,6.0
CZE,,3.0
DEU,,5.0
DJI,,11.0
DMA,,3.0
DNK,,2.0
DOM,,7.0
DZA,,14.0
ECU,,47.0
EGY,,18.0
ERI,,15.0
ESP,,17.0
EST,,1.0
ETH,,34.0
FIN,,2.0
FJI,,7.0
FRA,,9.0
FRO,,4.0
FSM,,5.0
GAB,,18.0
GBR,,5.0
GEO,,9.0
GHA,,21.0
GIB,,3.0
GIN,,30.0
GMB,,10.0
GNB,,14.0
GNQ,,23.0
GRC,,10.0
GRD,,3.0
GRL,,9.0
GTM,,15.0
GUM,,3.0
GUY,,11.0
HKG,,4.0
HND,,8.0
HRV,,9.0
HTI,,4.0
HUN,,3.0
IDN,,191.0
IMN,,0.0
IND,,93.0
IRL,,5.0
IRN,,18.0
IRQ,,13.0
ISL,,6.0
ISR,,15.0
ITA,,8.0
JAM,,7.0
JOR,,13.0
JPN,,29.0
KAZ,,16.0
KEN,,30.0
KGZ,,5.0
KHM,,39.0
KIR,,2.0
KNA,,2.0
KOR,,12.0
KWT,,7.0
LAO,,45.0
LBN,,10.0
LBR,,24.0
LBY,,10.0
LCA,,2.0
LIE,,0.0
LKA,,30.0
LSO,,4.0
LTU,,2.0
LUX,,0.0
LVA,,1.0
MAC,,0.0
MAF,,2.0
MAR,,18.0
MCO,,3.0
MDA,,4.0
MDG,,121.0
MDV,,2.0
MEX,,96.0
MHL,,1.0
MKD,,6.0
MLI,,14.0
MLT,,2.0
MMR,,49.0
MNE,,6.0
MNG,,11.0
MNP,,3.0
MOZ,,17.0
MRT,,18.0
MUS,,7.0
MWI,,10.0
MYS,,71.0
NAM,,15.0
NCL,,9.0
NER,,13.0
NGA,,31.0
NIC,,7.0
NLD,,3.0
NOR,,8.0
NPL,,29.0
NRU,,2.0
NZL,,9.0
OMN,,10.0
PAK,,25.0
PAN,,17.0
PER,,53.0
PHL,,38.0
PLW,,4.0
PNG,,41.0
POL,,4.0
PRI,,2.0
PRK,,10.0
PRT,,13.0
PRY,,10.0
PSE,,4.0
PYF,,0.0
QAT,,4.0
ROU,,9.0
RUS,,34.0
RWA,,24.0
SAU,,11.0
SDN,,16.0
SEN,,19.0
SGP,,14.0
SLB,,19.0
SLE,,22.0
SLV,,6.0
SMR,,0.0
SOM,,16.0
SRB,,6.0
SSD,,14.0
STP,,4.0
SUR,,9.0
SVK,,4.0
SVN,,6.0
SWE,,1.0
SWZ,,9.0
SXM,,2.0
SYC,,6.0
SYR,,14.0
TCA,,2.0
TCD,,16.0
TGO,,13.0
THA,,59.0
TJK,,7.0
TKM,,10.0
TLS,,5.0
TON,,2.0
TTO,,2.0
TUN,,14.0
TUR,,19.0
TUV,,2.0
TZA,,41.0
UGA,,31.0
UKR,,11.0
URY,,10.0
USA,,40.0
UZB,,10.0
VCT,,2.0
VEN,,35.0
VGB,,1.0
VIR,,1.0
VNM,,56.0
VUT,,8.0
WSM,,2.0
YEM,,11.0
ZAF,,30.0
ZMB,,13.0
ZWE,,10.0
