country_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ALB,,,,,,,,,,,3.96,,,
ARE,,,,,,,,,7.08,,,,,
ARG,,,,,,,,,,,,,-3.98,
ARM,,,,,,,,,1.26,,,,,
AUS,,,,,,,,,-0.49,,,,,
AUT,,,,,,,,,,,,0.41,,
BEL,,,,,,,,,,,,2.83,,
BEN,,,,,,,,,,,,4.84,,
BFA,,,,,,,,,,,,3.17,,
BGD,,,,,,,1.35,,,,,,,
BGR,,,,,,,,,,,,6.63,,
BLR,,,,,,,,,,,3.32,,,
BOL,,,,,,,,,,,,4.42,,
BRA,,,,,,,,,,,,,2.3,
BTN,,,,,,,,1.63,,,,,,
BWA,,,,,,0.42,,,,,,,,
CAN,,,,,,,,,,1.61,,,,
CHE,,,,,,,,,,,0.14,,,
CHL,,,,,,,,,,,,,3.14,
CHN,,,,,,,,,,,5.42,,,
CIV,,,,,,,,,,,,1.21,,
CMR,,,,,1.41,,,,,,,,,
COD,,,9.45,,,,,,,,,,,
COG,,3.35,,,,,,,,,,,,
COL,,,,,,,,,,,,-2.59,,
CRI,,,,,,,,,,,,,,0.95
CYP,,,,,,,,,,,,3.84,,
CZE,,,,,,,,,,,,3.53,,
DEU,,,,,,,,,,,2.43,,,
DNK,,,,,,,,,,,,1.7,,
DOM,,,,,,,,,,,,,1.63,
ECU,,,,,,,,,,,,,,-0.8
EGY,,,,,,,,,,-1.75,,,,
ESP,,,,,,,,,,,,3.01,,
EST,,,,,,,,,,,,6.69,,
ETH,,,,,,0.8,,,,,,,,
FIN,,,,,,,,,,,,1.24,,
FJI,,,,1.18,,,,,,,,,,
FRA,,,,,,,,,,,,-0.62,,
GBR,,,,,,,,,,,,0.85,,
GEO,,,,,,,,,,,,,2.75,
GHA,,,,,,,-0.2,,,,,,,
GIN,,,8.22,,,,,,,,,,,
GMB,,,,,,,,,,,-1.77,,,
GNB,,,,,,,,,,,,-1.77,,
GRC,,,,,,,,,,,,5.1,,
HND,,,,,,,,,,1.0,,,,
HRV,,,,,,,,,,,,7.12,,
HUN,,,,,,,,,,,,7.16,,
IDN,,,,,,,,,,,,,,2.78
IND,,3.2,,,,,,,,,,,,
IRL,,,,,,,,,,,,5.01,,
IRN,,,,,,,,,,,,,-0.12,
IRQ,,,0.46,,,,,,,,,,,
ISL,,,,,,,,5.63,,,,,,
ISR,,,,,,,,,,,,1.84,,
ITA,,,,,,,,,,,,2.38,,
JAM,,,,,,,,,,,,-3.3,,
JOR,4.56,,,,,,,,,,,,,
KAZ,,,,,,,,,,,,3.72,,
KEN,,,,,,,,,,,,-1.18,,
KGZ,,,,,,,,,,,,,2.23,
KOR,,,,,,,,,,,,5.11,,
LAO,,,,,,,,,1.91,,,,,
LKA,,,,,,,,,,1.74,,,,
LTU,,,,,,,,,,,,9.65,,
LUX,,,,,,,,,,,,2.33,,
LVA,,,,,,,,,,,,6.85,,
MDA,,,,,,,,,,,,1.3,,
MDG,,,-3.37,,,,,,,,,,,
MEX,,,,,,,,,,,,,3.64,
MKD,,,,,,,,,,5.77,,,,
MLI,,,,,,,,,,,,-3.33,,
MLT,,,,,,,,,,,3.69,,,
MMR,,,,,,,,9.46,,,,,,
MNE,,,,,,,,,,,,3.67,,
MNG,,,,,,,,,2.48,,,,,
MOZ,,,,,,,,,,-4.19,,,,
MRT,,,,,,,,,,0.31,,,,
MUS,,,,,,,,2.71,,,,,,
MWI,,,,,,,,,,-2.96,,,,
MYS,,,,,,,,,,,,3.22,,
NAM,,,,,,5.73,,,,,,,,
NER,,,,,,,,,,,,1.59,,
NIC,,,,,5.64,,,,,,,,,
NLD,,,,,,,,,,,,2.86,,
NOR,,,,,,,,,,0.09,,,,
NPL,8.28,,,,,,,,,,,,,
PAK,,,,,,,,,1.34,,,,,
PAN,,,,,,,,,,,,,,-1.04
PER,,,,,,,,,,,,,1.02,
PHL,,,,,,,,,,,,2.98,,
POL,,,,,,,,,,,,6.92,,
PRT,,,,,,,,,,,,3.84,,
PRY,,,,,,,,,,,,,0.59,
PSE,,,,,,,-0.89,,,,,,,
ROU,,,,,,,,,,,,14.51,,
RUS,,,,,,,,,,,0.59,,,
RWA,,,,,,,0.31,,,,,,,
SEN,,,,,,,,,,,,0.41,,
SLE,,,,,,,,,2.67,,,,,
SLV,,,,,,,,,,,,,2.51,
SRB,,,,,,,,,,,,12.87,,
SVK,,,,,,,,,,,,1.68,,
SVN,,,,,,,,,,,,4.57,,
SWE,,,,,,,,,,,,0.64,,
SWZ,,,,,,,4.66,,,,,,,
SYC,,,,,,,,,3.55,,,,,
TCD,,,,,,,,,,,,,0.01,
TGO,,,,,,,,,,,,1.52,,
THA,,,,,,,,,,,,1.49,,
TJK,,,,,,1.32,,,,,,,,
TON,,,,,,,,,,,,7.79,,
TUN,,,,,,,,,,,,0.79,,
TUR,,,,,,,,,,,,2.9,,
TZA,,,,,,,,,-0.15,,,,,
UGA,,,,,,,,,,0.22,,,,
UKR,,,,,,,,,,,4.13,,,
URY,,,,,,,,,,0.33,,,,
USA,,,,,,,,,,,,,1.45,
VNM,,,,,,,,,,,,,2.61,
ZAF,,,,,-1.36,,,,,,,,,
ZMB,,,,,,,,,,,,,0.04,
ZWE,,,,,,,,,,-7.32,,,,
