country_code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ALB,,,,,53.0,53.0,,,,,,,
AND,,,,,,80.0,,,,,100.0,,
ARE,,89.6,,,87.0,59.0,,,,,,,
ARG,,,,,99.2,,100.0,,,,,100.0,
ARM,,,,,,,76.0,,,,,100.0,
ATG,,,,80.2,,,,79.0,,,,83.0,
AUS,,,99.1,,,100.0,,,,,,100.0,
AUT,,,,,,100.0,100.0,,,,,,100.0
AZE,,,93.0,,,,,,,,,,
BEL,,100.0,,,100.0,,,,,,,100.0,
BGR,,,,,,,100.0,,,,100.0,,
BHR,,,,,,88.0,,,,96.0,,,
BHS,,,89.0,,93.0,,,,,89.0,,,
BIH,,,,,,,89.0,,,,,95.0,
BLR,,,,100.0,,,100.0,,,100.0,,,
BLZ,,,,100.0,,,100.0,,,,,89.0,
BRA,,,,,93.0,,93.0,,,,,99.0,
BRB,,,100.0,,,100.0,,,79.0,,,,
BRN,,,,,,92.6,89.0,,,,,100.0,
CAN,,,,100.0,,100.0,,,,,100.0,,
CHE,,,,,100.0,100.0,100.0,,,,,100.0,
CHL,,,,97.7,,,100.0,,,,,95.0,
CHN,,,,,4.0,,,,,,62.0,,
COL,,,,98.5,,98.0,,,,,80.0,,
CPV,,,,,,,,93.0,,,,,
CRI,,,,,,90.4,91.0,,,87.0,,,
CUB,,,,,99.8,,98.0,,,,,100.0,
CYP,,,,,,85.3,86.0,,,,,68.0,
CZE,,,,,,,100.0,,,,,,100.0
DEU,,,,,,,100.0,,,,,100.0,
DMA,,,,,100.0,,,100.0,,,100.0,,
DNK,,,,,,98.5,98.0,,,,100.0,,
DOM,58.6,,,,,56.9,,,58.0,,,,
ECU,,,,,85.3,,80.0,,,,,82.0,
EGY,,,,,,95.0,,,,,94.0,,
ESP,,,,,,100.0,100.0,,,,,100.0,
EST,,,,,,,100.0,,,,,100.0,
FIN,,,,,,100.0,100.0,,,,,100.0,
FJI,,,,,100.0,,100.0,100.0,,,,,
FRA,,,,,100.0,100.0,,,,,100.0,,
GBR,,,,,100.0,100.0,,,,,,100.0,
GEO,,,,,,86.8,98.0,,,,90.0,,
GRC,,,,,,100.0,100.0,,,,,100.0,
GRD,,,,,100.0,,100.0,,,,,,100.0
GTM,,,,85.3,,,92.0,,,,,100.0,
GUY,,,,73.5,,81.0,,,,90.0,,,
HND,,,,,,,,17.0,14.0,,,,
HRV,,,,,,,100.0,,,,,100.0,
HUN,,,,,,,100.0,,,,,,100.0
IND,,,8.0,,,,10.0,,,,,,
IRL,,,,,100.0,,,,,,100.0,,
IRN,,68.3,,,,,,,,,,90.0,
IRQ,,,,65.0,,,,,,,,65.0,
ISL,,,,100.0,,,,,,,,,100.0
ISR,,,,,,100.0,100.0,,,,,100.0,
ITA,,,,,100.0,100.0,,,,,100.0,,
JAM,,71.0,,,,,,,,94.0,,,
JOR,,,,,65.0,,,,,,56.0,,
JPN,,,,,,100.0,100.0,,,,,100.0,
KAZ,,,,,91.6,,,91.0,,,,,87.0
KGZ,,,,,97.6,,,96.0,,,,91.0,
KNA,,,,,82.3,,79.0,,88.0,,,,
KOR,,,,,,99.0,99.0,,,,,100.0,
KWT,,,,,,95.9,95.0,,,59.0,,,
LCA,,,,89.9,,,85.0,,,97.0,,,
LKA,,81.9,,,,,,,,,,,
LTU,,,,,100.0,,100.0,,,,,,99.0
LUX,,,,,,99.7,100.0,,,,,100.0,
LVA,,,,,,99.7,100.0,,,,100.0,,
MAR,,,,26.8,,25.0,24.3,,,29.0,,,
MCO,,,,,,80.0,80.0,100.0,,,,,
MDA,,,,,,,91.4,90.0,,,,,80.0
MDV,,,,80.7,,,84.0,,,,91.0,,
MEX,,,,,93.9,,99.0,,,,,100.0,
MKD,,,,,100.0,100.0,,,100.0,,,,
MLT,,,,,,100.0,99.9,,,,100.0,,
MNE,,,,100.0,94.0,,,,,,,,
MNG,,,,,,88.7,,92.0,,,,84.0,
MUS,,,,,,100.0,,100.0,,,,,100.0
MYS,,,55.4,56.0,,,,,,52.0,,,
NIC,,,,,,67.6,68.0,,,,,,79.0
NLD,,,,,,99.8,100.0,,,,,100.0,
NOR,,,,,,,100.0,,,,,100.0,
NZL,,,,100.0,100.0,,,,,100.0,,,
OMN,,,,,,87.0,,,,74.0,,,
PAN,,,,90.3,,,90.0,,,,,92.0,
PER,,,65.5,,66.8,,69.0,,,,57.0,,
PHL,,,,90.0,,,89.0,,,,,,
PLW,,,,,,,,,95.0,,,,
POL,,,,,,100.0,100.0,,,,,100.0,
PRT,,,,,,100.0,100.0,,,,,100.0,
PRY,,,,,81.8,,81.0,,,,,88.0,
QAT,,,,,,81.7,77.0,,,,,,50.0
ROU,,,,,,99.6,100.0,,,,,,100.0
RUS,,,,,99.3,100.0,,,,,100.0,,
SAU,,,,,50.6,,,42.0,,,,,
SGP,,,,,,74.5,74.0,,,,,66.0,
SLV,,,,77.1,,,78.0,,,93.0,,,
SMR,,,80.0,,,,,,,,100.0,,
SRB,,,,,,,90.0,,,,,94.0,
SUR,,,,100.0,,,100.0,,,80.0,,,
SVK,,,,,100.0,100.0,,,,100.0,,,
SVN,,,,,100.0,100.0,,,,,100.0,,
SWE,,,,,100.0,100.0,100.0,,,,,100.0,
SYC,,,,,,,100.0,,,,91.0,,
SYR,,,,,92.5,83.0,,,,,,,
THA,,84.9,,,,,,,,,,87.0,
TJK,67.6,,,,,,,,,,,87.0,
TKM,,,,,,,,,,,85.0,,
TTO,,,86.1,85.0,,,,83.0,,,,,
TUN,,,,,37.0,,,,29.0,,,,
TUR,,,71.4,,,,,78.0,,,,92.0,
UKR,,,,,,,99.0,,,,,,92.0
URY,,,,99.1,99.0,,,,,,,100.0,
USA,,,,,98.0,,,,,,,100.0,
UZB,80.8,,,,,,,,,,,93.0,
VCT,,,,,100.0,100.0,,100.0,,,,100.0,
VEN,,,,100.0,,,,,89.0,,,,
ZAF,,,,92.3,91.0,,,,,,92.0,,
